GDP,Agricultural GDP,Industrial GDP,Counstruction GDP,Communication and Transportation GDP,Government investment of waste gas treatment,Coal consuption,Coke consuption,Crude oil consumption,Gasoline consumption,Kerosene comsuption,Diesel consumption,Fuel oil consumption,Netural gas consumption,Electricity consumption,Number of cars,aqi
0.975361944,0.291401241,0.080646329,0.164179162,0.07237849,11.14477766,1.646359876,0.044782834,0.614860393,0.047233713,0.008071355,0.093872802,0.024053775,0.020966908,0.12131334,0.02417787,86
0.846535433,0.243354331,0.073259843,0.166404199,0.073480315,11.3144357,1.521259843,0.04360105,0.592131234,0.045511811,0.00871916,0.089002625,0.017958005,0.018146982,0.112650919,0.023700787,118
0.795095949,0.237526652,0.068395522,0.168976546,0.074616205,11.48933902,1.457356077,0.038923241,0.573742004,0.046028785,0.012649254,0.088821962,0.027739872,0.018464819,0.105501066,0.021428571,138
0.737458085,0.22640887,0.064332071,0.171444024,0.075705787,11.65711195,1.461546782,0.040054083,0.579388859,0.055127096,0.011525149,0.08398053,0.030605733,0.012677123,0.098961601,0.019994592,125
2.611661538,0.383076923,0.683884615,0.281107692,0.105634615,9.177692308,2.521946154,0.236507692,0.556346154,0.060846154,0.002253846,0.129076923,0.001911538,0.010015385,0.422584615,0.092061538,95
2.638680046,0.362489386,0.873485141,0.262964107,0.108348128,53.253956,2.591999228,0.267452721,0.566518719,0.049780008,0.002169047,0.144654574,0.002720957,0.009725975,0.422802007,0.071520648,98
2.451855151,0.34077072,0.834709527,0.235232378,0.103477924,53.56893881,2.533334624,0.258218435,0.610236251,0.047594888,0.001975213,0.145371805,0.001661503,0.008996902,0.415646785,0.060565453,97
2.191698991,0.302754073,0.803041117,0.205527541,0.123995345,24.13498836,2.543832428,0.25371218,0.598995345,0.025523662,0.002028704,0.100089216,0.003588053,0.007866563,0.385802948,0.050093095,94
1.958022621,0.264723089,0.750370515,0.177020281,0.109333073,27.27223089,2.458268331,0.23450858,0.637975819,0.022921217,0.001450858,0.086848674,0.003673947,0.006181747,0.360159906,0.041181747,95
1.609667969,0.23409375,0.626121094,0.149257813,0.088742188,40.840625,2.105300781,0.2115625,0.546945313,0.022097656,0.001945313,0.08228125,0.005714844,0.005550781,0.314230469,0.03321875,109
1.325855186,0.194540117,0.47111546,0.126630137,0.083616438,20.02857143,1.752837573,0.211479452,0.56390998,0.019624266,0.002133072,0.072649706,0.005240705,0.004864971,0.276129159,0.025733855,101
1.241403371,0.18121129,0.466005488,0.110372403,0.082755782,24.11681693,1.835699726,0.213316347,0.546593493,0.019670717,0.002159937,0.066095649,0.0049902,0.004707958,0.265684045,0.019823599,94
1.061216641,0.152099686,0.417519623,0.084568289,0.071130298,18.02158556,1.74850471,0.220392465,0.562350863,0.034403454,0.002150706,0.044717425,0.005624019,0.005090267,0.241263736,0.01689168,90
0.894130349,0.131134668,0.34084413,0.068731841,0.066580291,41.41853161,1.554413035,0.184279545,0.519583824,0.03456223,0.001837456,0.046175893,0.005516294,0.004699647,0.210573223,0.014628975,129
0.759913556,0.121045187,0.269469548,0.060023576,0.056856582,19.36738703,1.473740668,0.166762279,0.483009823,0.034145383,0.001811395,0.045178782,0.006298625,0.003779961,0.192330059,0.013257367,109
0.664498229,0.112861078,0.225895317,0.054820937,0.047977174,9.922865014,1.36927194,0.136454152,0.454451004,0.030487997,0.002676112,0.041676505,0.00609209,0.003356946,0.177882723,0.007630854,114
0.551765865,0.093776114,0.176677178,0.048789909,0.048052818,9.938510051,1.268640126,0.071651557,0.401253449,0.038557351,0.002104848,0.032451715,0.007863618,0.002905006,0.157008277,0.010796216,115
0.486775978,0.085148163,0.15384433,0.044373765,0.048166733,9.962070328,1.1054919,0.070090873,0.369545634,0.03847096,0.002094034,0.02811932,0.012007112,0.001090478,0.134199921,0.010146187,147
0.446044392,0.082425684,0.14090765,0.04065002,0.048319461,9.993658343,1.011097899,0.070023781,0.351605232,0.041204915,0.002092747,0.039952438,0.01986524,0.000471661,0.121319857,0.009460959,114
0.418640159,0.077176938,0.130258449,0.03739165,0.048473161,10.02544732,0.986234592,0.071284294,0.350250497,0.039129225,0.001483101,0.036508946,0.02306163,0.000337972,0.117427435,0.008827038,147
